Pair,Ratio,Z-Score,RSI,MACD,Signal
ABEV3/TOTS3,0.5424,-0.19,48.0,0.0009,NO SIGNAL
SUZB3/CSNA3,8.0949,-0.18,52.4,-0.0127,NO SIGNAL
ABEV3/B3SA3,1.0362,-0.18,49.0,-0.0125,NO SIGNAL
PETR4/UGPA3,1.3072,-0.18,40.9,-0.054,NO SIGNAL
PETR3/GOAU4,4.4199,-0.17,48.1,-0.0341,NO SIGNAL
MULT3/YDUQ3,3.4171,-0.16,49.3,0.0742,NO SIGNAL
VALE3/CSAN3,19.2251,-0.15,44.7,-0.4164,NO SIGNAL
PRIO3/KLBN11,3.236,-0.15,45.9,-0.0338,NO SIGNAL
WEGE3/RAIL3,3.2746,-0.14,48.8,0.0009,NO SIGNAL
PRIO3/CSNA3,11.0588,-0.14,51.4,-0.0339,NO SIGNAL
CSNA3/PCAR3,1.8957,-0.13,41.4,-0.1525,NO SIGNAL
RAIL3/TOTS3,0.4718,-0.12,49.9,0.0044,NO SIGNAL
RENT3/TAEE11,0.9514,-0.11,45.2,-0.0264,NO SIGNAL
PCAR3/UGPA3,0.0866,-0.11,53.9,0.0008,NO SIGNAL
EQTL3/LREN3,2.8347,-0.09,53.1,0.0434,NO SIGNAL
RADL3/HAPV3,1.6918,-0.08,50.8,0.0209,NO SIGNAL
ABEV3/RAIL3,1.1498,-0.08,47.1,-0.0093,NO SIGNAL
BPAC11/HAPV3,5.2452,-0.08,52.8,0.0759,NO SIGNAL
SUZB3/PRIO3,0.732,-0.08,50.6,0.0017,NO SIGNAL
WEGE3/CSAN3,11.6829,-0.05,48.9,-0.0502,NO SIGNAL
ITUB4/HAPV3,4.0057,-0.05,52.4,0.0525,NO SIGNAL
TAEE11/YDUQ3,4.8391,-0.05,50.8,0.1429,NO SIGNAL
PETR4/PCAR3,15.0935,-0.03,41.2,-0.9471,NO SIGNAL
BPAC11/RADL3,3.1004,-0.01,53.1,0.0069,NO SIGNAL
USIM5/ALPA4,0.7165,-0.0,47.8,0.0015,NO SIGNAL
B3SA3/TOTS3,0.5235,-0.0,48.7,0.0071,NO SIGNAL
EQTL3/YDUQ3,4.6906,0.01,51.4,0.1232,NO SIGNAL
BBDC4/MGLU3,3.8734,0.02,55.4,0.0751,NO SIGNAL
CSNA3/KLBN11,0.2926,0.02,44.9,-0.0028,NO SIGNAL
RENT3/MULT3,1.3473,0.02,46.6,-0.0251,NO SIGNAL
ITUB4/RADL3,2.3677,0.03,53.6,0.0017,NO SIGNAL
RADL3/USIM5,2.1517,0.04,53.6,0.0384,NO SIGNAL
ABEV3/CSAN3,4.1023,0.04,47.6,-0.0538,NO SIGNAL
BPAC11/USIM5,6.6711,0.06,56.0,0.1333,NO SIGNAL
HAPV3/USIM5,1.2718,0.06,52.2,0.0091,NO SIGNAL
LREN3/YDUQ3,1.6547,0.08,49.5,0.0175,NO SIGNAL
RADL3/ALPA4,1.5417,0.09,52.4,0.0364,NO SIGNAL
BBAS3/TOTS3,0.7041,0.09,50.6,0.0097,NO SIGNAL
ABEV3/WEGE3,0.3511,0.09,48.7,-0.003,NO SIGNAL
ITUB4/BPAC11,0.7637,0.1,49.7,-0.0011,NO SIGNAL
VALE3/MGLU3,15.8587,0.11,52.7,-0.0023,NO SIGNAL
CMIG4/MGLU3,2.3397,0.11,55.6,0.0321,NO SIGNAL
PETR4/CSNA3,7.962,0.13,53.3,0.044,NO SIGNAL
LREN3/TAEE11,0.3419,0.13,47.7,-0.0068,NO SIGNAL
B3SA3/RAIL3,1.1097,0.13,47.7,0.0044,NO SIGNAL
PETR3/UGPA3,1.4788,0.14,43.2,-0.0552,NO SIGNAL
ITUB4/USIM5,5.0947,0.14,56.6,0.0969,NO SIGNAL
PRIO3/TOTS3,1.9709,0.14,49.7,0.0155,NO SIGNAL
BPAC11/ALPA4,4.78,0.14,55.3,0.1244,NO SIGNAL
VALE3/CMIG4,6.7782,0.14,46.0,-0.0995,NO SIGNAL
HAPV3/ALPA4,0.9113,0.15,51.0,0.0101,NO SIGNAL
WEGE3/MGLU3,9.6371,0.17,55.5,0.1405,NO SIGNAL
VIVT3/SBSP3,1.1975,0.18,49.5,0.0093,NO SIGNAL
USIM5/ASAI3,1.0061,0.18,45.8,-0.0078,NO SIGNAL
PETR3/PCAR3,17.0755,0.18,42.3,-0.9989,NO SIGNAL
EQTL3/TAEE11,0.9693,0.19,50.7,-0.0033,NO SIGNAL
CSNA3/TOTS3,0.1782,0.19,47.5,0.0018,NO SIGNAL
ITUB4/ALPA4,3.6504,0.19,55.4,0.0916,NO SIGNAL
BBAS3/B3SA3,1.345,0.2,52.8,0.0005,NO SIGNAL
TOTS3/CSAN3,7.5627,0.2,50.0,-0.1093,NO SIGNAL
SUZB3/TOTS3,1.4427,0.21,50.4,0.0149,NO SIGNAL
RADL3/ASAI3,2.1648,0.22,50.6,0.0346,NO SIGNAL
VALE3/BBDC4,4.0942,0.23,46.8,-0.0874,NO SIGNAL
HAPV3/ASAI3,1.2796,0.24,49.4,0.0037,NO SIGNAL
TAEE11/MULT3,1.4162,0.24,53.1,0.0117,NO SIGNAL
GOAU4/PCAR3,3.8633,0.24,44.0,-0.1919,NO SIGNAL
RAIL3/CSAN3,3.5678,0.25,50.3,-0.0157,NO SIGNAL
GGBR4/VAMO3,7.6196,0.25,50.9,0.0094,NO SIGNAL
ABEV3/MGLU3,3.384,0.25,55.0,0.0237,NO SIGNAL
BBAS3/WEGE3,0.4558,0.27,51.6,0.0016,NO SIGNAL
WEGE3/CMIG4,4.119,0.27,52.1,0.009,NO SIGNAL
PRIO3/B3SA3,3.7649,0.28,50.8,-0.0218,NO SIGNAL
PETR4/KLBN11,2.3298,0.28,49.0,-0.0011,NO SIGNAL
BBDC4/HAPV3,1.7519,0.28,53.6,0.0298,NO SIGNAL
RADL3/YDUQ3,2.1943,0.28,53.8,0.0744,NO SIGNAL
GOAU4/UGPA3,0.3346,0.29,45.1,-0.0098,NO SIGNAL
HAPV3/YDUQ3,1.297,0.29,52.0,0.0277,NO SIGNAL
BBAS3/RAIL3,1.4925,0.3,51.1,0.0067,NO SIGNAL
B3SA3/CSAN3,3.9591,0.3,48.0,-0.0019,NO SIGNAL
PRIO3/RAIL3,4.1778,0.31,49.6,-0.0087,NO SIGNAL
RADL3/LREN3,1.3261,0.31,55.4,0.0297,NO SIGNAL
VALE3/HAPV3,7.1727,0.32,51.8,-0.0195,NO SIGNAL
SUZB3/B3SA3,2.7558,0.34,52.3,-0.0087,NO SIGNAL
WEGE3/HAPV3,4.3588,0.34,53.9,0.0555,NO SIGNAL
CSAN3/MGLU3,0.8249,0.35,58.2,0.0161,NO SIGNAL
PETR4/TOTS3,1.419,0.35,51.5,0.0243,NO SIGNAL
BPAC11/ASAI3,6.7118,0.36,53.8,0.1253,NO SIGNAL
BPAC11/YDUQ3,6.8032,0.36,56.2,0.2436,NO SIGNAL
BBAS3/ABEV3,1.298,0.37,54.7,0.0147,NO SIGNAL
TOTS3/MGLU3,6.2384,0.37,56.9,0.0411,NO SIGNAL
VAMO3/PCAR3,1.1727,0.37,45.3,-0.0549,NO SIGNAL
ALPA4/ASAI3,1.4042,0.39,47.5,-0.0135,NO SIGNAL
KLBN11/TOTS3,0.6091,0.39,52.9,0.0101,NO SIGNAL
ITUB4/YDUQ3,5.1955,0.4,55.8,0.1791,NO SIGNAL
LREN3/MULT3,0.4842,0.41,50.2,-0.0054,NO SIGNAL
PETR3/CSNA3,9.0076,0.41,54.3,0.0797,NO SIGNAL
PRIO3/CSAN3,14.9054,0.41,49.8,-0.1003,NO SIGNAL
VALE3/RADL3,4.2397,0.42,51.5,-0.069,NO SIGNAL
TAEE11/CYRE3,1.8944,0.43,53.7,0.0309,NO SIGNAL
RAIL3/MGLU3,2.943,0.43,57.3,0.0458,NO SIGNAL
CSNA3/CSAN3,1.3478,0.44,46.9,-0.0076,NO SIGNAL
ITUB4/ASAI3,5.1258,0.44,53.5,0.0888,NO SIGNAL
MULT3/CYRE3,1.3377,0.46,52.1,0.0109,NO SIGNAL
GGBR4/PCAR3,8.9353,0.47,45.2,-0.4064,NO SIGNAL
SUZB3/RAIL3,3.0581,0.48,50.6,0.0024,NO SIGNAL
PETR3/TOTS3,1.6053,0.48,52.6,0.0327,NO SIGNAL
BPAC11/LREN3,4.1114,0.49,60.0,0.1023,NO SIGNAL
BBAS3/CSAN3,5.3248,0.49,51.1,0.0007,NO SIGNAL
PETR4/SUZB3,0.9836,0.5,52.1,0.0061,NO SIGNAL
WEGE3/RADL3,2.5764,0.51,55.9,0.0007,NO SIGNAL
PETR4/WEGE3,0.9186,0.52,52.6,0.0055,NO SIGNAL
BBDC4/YDUQ3,2.2723,0.52,56.8,0.0866,NO SIGNAL
BBDC4/ALPA4,1.5965,0.52,56.7,0.0458,NO SIGNAL
B3SA3/MGLU3,3.2658,0.54,56.4,0.0657,NO SIGNAL
PETR3/KLBN11,2.6358,0.56,51.3,0.0079,NO SIGNAL
ABEV3/HAPV3,1.5305,0.56,54.8,0.0078,NO SIGNAL
BBDC4/USIM5,2.2282,0.56,58.9,0.0507,NO SIGNAL
BBAS3/MGLU3,4.3924,0.57,57.2,0.0852,NO SIGNAL
VAMO3/UGPA3,0.1016,0.58,47.7,-0.0028,NO SIGNAL
CSNA3/CMIG4,0.4752,0.58,49.2,0.0004,NO SIGNAL
SUZB3/MGLU3,9.0,0.59,56.9,0.1442,NO SIGNAL
HAPV3/MULT3,0.3796,0.59,52.7,-0.0001,NO SIGNAL
RAIL3/HAPV3,1.3311,0.59,56.1,0.0164,NO SIGNAL
PETR4/VALE3,0.5582,0.59,58.4,0.0123,NO SIGNAL
BBDC4/RADL3,1.0355,0.6,55.5,0.0047,NO SIGNAL
PETR4/RAIL3,3.0079,0.6,52.2,0.0229,NO SIGNAL
VALE3/BPAC11,1.3675,0.61,48.8,-0.0263,NO SIGNAL
PETR4/ABEV3,2.616,0.62,55.5,0.037,NO SIGNAL
HAPV3/TAEE11,0.268,0.62,51.3,-0.0023,NO SIGNAL
BBDC4/ASAI3,2.2418,0.62,55.9,0.0469,NO SIGNAL
WEGE3/ALPA4,3.9722,0.63,56.9,0.0987,NO SIGNAL
ITUB4/LREN3,3.1399,0.63,60.4,0.0749,NO SIGNAL
VALE3/ALPA4,6.5365,0.63,54.5,0.0608,NO SIGNAL
ABEV3/CMIG4,1.4463,0.64,51.4,-0.0089,NO SIGNAL
EQTL3/CYRE3,1.8362,0.65,55.5,0.0238,NO SIGNAL
BPAC11/RENT3,1.4777,0.65,63.3,0.0471,NO SIGNAL
RENT3/VIVT3,1.1489,0.65,53.2,-0.0293,NO SIGNAL
PETR3/WEGE3,1.0392,0.66,53.9,0.0096,NO SIGNAL
CMIG4/YDUQ3,1.3725,0.66,57.5,0.0441,NO SIGNAL
HAPV3/CYRE3,0.5078,0.66,53.7,0.0038,NO SIGNAL
PETR4/BBAS3,2.0154,0.66,51.8,0.0059,NO SIGNAL
PRIO3/MGLU3,12.2954,0.66,54.5,0.1799,NO SIGNAL
CSNA3/YDUQ3,0.6522,0.68,54.1,0.0225,NO SIGNAL
B3SA3/CMIG4,1.3959,0.68,51.9,0.0075,NO SIGNAL
CSNA3/ALPA4,0.4583,0.7,53.5,0.0111,NO SIGNAL
RADL3/CYRE3,0.859,0.71,57.7,0.0174,NO SIGNAL
B3SA3/YDUQ3,1.9158,0.71,58.2,0.0719,NO SIGNAL
WEGE3/YDUQ3,5.6535,0.71,57.7,0.1922,NO SIGNAL
CSNA3/MGLU3,1.1118,0.72,53.9,0.0203,NO SIGNAL
VALE3/YDUQ3,9.3032,0.72,54.8,0.1759,NO SIGNAL
B3SA3/HAPV3,1.4771,0.72,54.6,0.0247,NO SIGNAL
PETR4/CSAN3,10.7315,0.73,52.2,0.0345,NO SIGNAL
PETR4/PRIO3,0.72,0.73,55.5,0.0066,NO SIGNAL
CSNA3/ASAI3,0.6435,0.73,52.1,0.01,NO SIGNAL
PRIO3/YDUQ3,7.2129,0.73,55.5,0.2273,NO SIGNAL
PRIO3/CMIG4,5.2552,0.73,52.2,-0.0032,NO SIGNAL
ABEV3/RADL3,0.9047,0.73,55.2,-0.0072,NO SIGNAL
VALE3/ITUB4,1.7906,0.74,49.0,-0.0317,NO SIGNAL
PETR3/SUZB3,1.1128,0.74,54.0,0.0107,NO SIGNAL
KLBN11/MGLU3,3.7996,0.74,59.9,0.0819,NO SIGNAL
SUZB3/CSAN3,10.9105,0.74,50.7,-0.0417,NO SIGNAL
CMIG4/USIM5,1.3459,0.75,57.7,0.0226,NO SIGNAL
PETR3/RAIL3,3.4029,0.76,54.0,0.0371,NO SIGNAL
PETR3/ABEV3,2.9595,0.77,57.1,0.0514,NO SIGNAL
ITUB4/RENT3,1.1285,0.77,64.7,0.0346,NO SIGNAL
CMIG4/ALPA4,0.9643,0.78,58.3,0.0216,NO SIGNAL
EQTL3/MULT3,1.3727,0.78,54.9,0.0068,NO SIGNAL
BBDC4/LREN3,1.3732,0.78,62.3,0.0376,NO SIGNAL
GGBR4/TOTS3,0.84,0.79,58.2,0.0252,NO SIGNAL
RADL3/TAEE11,0.4535,0.79,54.7,0.002,NO SIGNAL
GGBR4/UGPA3,0.7738,0.8,48.2,-0.0196,NO SIGNAL
RADL3/MULT3,0.6422,0.81,57.4,0.0081,NO SIGNAL
PETR4/B3SA3,2.7106,0.81,53.3,0.01,NO SIGNAL
B3SA3/ALPA4,1.3461,0.82,57.4,0.0371,NO SIGNAL
BBDC4/RENT3,0.4935,0.83,65.8,0.0169,NO SIGNAL
B3SA3/ASAI3,1.8901,0.84,56.3,0.0377,NO SIGNAL
BBAS3/YDUQ3,2.5767,0.84,60.5,0.0963,NO SIGNAL
PETR4/YDUQ3,5.1931,0.84,57.8,0.2087,NO SIGNAL
CSNA3/USIM5,0.6396,0.84,56.6,0.0131,NO SIGNAL
PRIO3/HAPV3,5.5611,0.84,54.0,0.0615,NO SIGNAL
ABEV3/YDUQ3,1.9851,0.85,58.4,0.0521,NO SIGNAL
PRIO3/ALPA4,5.0678,0.87,55.9,0.1105,NO SIGNAL
CMIG4/ASAI3,1.3541,0.87,55.8,0.0198,NO SIGNAL
WEGE3/ASAI3,5.5775,0.88,55.7,0.0945,NO SIGNAL
PRIO3/ASAI3,7.116,0.89,54.8,0.0979,NO SIGNAL
RAIL3/CMIG4,1.2579,0.89,54.9,0.0017,NO SIGNAL
PETR3/CSAN3,12.1407,0.89,53.6,0.0791,NO SIGNAL
VALE3/ASAI3,9.1783,0.89,52.5,0.0053,NO SIGNAL
SUZB3/HAPV3,4.0706,0.9,56.2,0.0543,NO SIGNAL
PETR3/YDUQ3,5.875,0.9,58.4,0.2526,NO SIGNAL
SUZB3/YDUQ3,5.2797,0.91,59.8,0.1801,NO SIGNAL
B3SA3/USIM5,1.8786,0.91,59.0,0.0418,NO SIGNAL
PRIO3/LREN3,4.359,0.92,57.2,0.0901,NO SIGNAL
BBAS3/HAPV3,1.9866,0.92,56.4,0.0329,NO SIGNAL
LREN3/VIVT3,0.4129,0.92,55.0,-0.0075,NO SIGNAL
PETR4/MGLU3,8.8523,0.92,57.7,0.206,NO SIGNAL
RAIL3/USIM5,1.693,0.92,58.6,0.0302,NO SIGNAL
CSAN3/ALPA4,0.34,0.93,57.8,0.0088,NO SIGNAL
BBDC4/BPAC11,0.334,0.93,52.8,0.0008,NO SIGNAL
PRIO3/USIM5,7.0728,0.93,57.3,0.1241,NO SIGNAL
TOTS3/USIM5,3.5886,0.94,57.7,0.0352,NO SIGNAL
RAIL3/YDUQ3,1.7265,0.94,60.5,0.0574,NO SIGNAL
GGBR4/KLBN11,1.3792,0.95,59.0,0.0188,NO SIGNAL
B3SA3/LREN3,1.1578,0.98,65.0,0.0305,NO SIGNAL
KLBN11/YDUQ3,2.229,0.99,62.6,0.0885,NO SIGNAL
PETR4/ASAI3,5.1233,1.02,58.2,0.118,NO SIGNAL
PETR4/ALPA4,3.6487,1.03,59.6,0.1115,NO SIGNAL
CSAN3/ASAI3,0.4774,1.03,57.6,0.0092,NO SIGNAL
BPAC11/CYRE3,2.6633,1.04,62.1,0.061,NO SIGNAL
ABEV3/ALPA4,1.3948,1.04,58.4,0.024,NO SIGNAL
CSNA3/CYRE3,0.2553,1.04,57.0,0.005,NO SIGNAL
PETR4/HAPV3,4.0038,1.05,56.1,0.08,NO SIGNAL
PETR4/CMIG4,3.7836,1.07,56.7,0.0339,NO SIGNAL
PETR3/B3SA3,3.0665,1.08,54.7,0.0215,NO SIGNAL
PETR3/ASAI3,5.7961,1.08,59.4,0.1512,NO SIGNAL
RENT3/CYRE3,1.8023,1.09,49.6,-0.0184,NO SIGNAL
PETR3/MGLU3,10.0148,1.09,58.4,0.2634,NO SIGNAL
PETR3/ALPA4,4.1278,1.1,60.2,0.1385,NO SIGNAL
PETR4/LREN3,3.1384,1.1,60.8,0.092,NO SIGNAL
RAIL3/ALPA4,1.213,1.1,58.5,0.0281,NO SIGNAL
GGBR4/YDUQ3,3.0743,1.1,68.5,0.1585,NO SIGNAL
PETR4/RENT3,1.128,1.11,62.6,0.0408,NO SIGNAL
BBAS3/ASAI3,2.5421,1.11,60.8,0.0517,NO SIGNAL
KLBN11/CSAN3,4.6061,1.12,53.6,0.0127,NO SIGNAL
BBAS3/ALPA4,1.8104,1.12,61.3,0.0504,NO SIGNAL
ABEV3/BPAC11,0.2918,1.15,53.7,-0.003,NO SIGNAL
GGBR4/CSNA3,4.7135,1.15,58.8,0.0864,NO SIGNAL
BBDC4/CYRE3,0.8895,1.15,63.0,0.0224,NO SIGNAL
CSNA3/TAEE11,0.1348,1.16,54.2,0.0005,NO SIGNAL
PETR3/LREN3,3.5505,1.16,61.5,0.1145,NO SIGNAL
PETR3/HAPV3,4.5296,1.17,57.0,0.1047,NO SIGNAL
PETR3/RENT3,1.2761,1.17,63.2,0.0497,NO SIGNAL
BBAS3/USIM5,2.5267,1.17,60.4,0.0557,NO SIGNAL
PETR3/CMIG4,4.2804,1.18,57.9,0.0523,NO SIGNAL
GOAU4/CSAN3,2.7468,1.18,58.6,0.0349,NO SIGNAL
CSNA3/MULT3,0.1909,1.19,57.2,0.0023,NO SIGNAL
ABEV3/ASAI3,1.9585,1.19,57.0,0.0172,NO SIGNAL
ITUB4/CYRE3,2.0339,1.19,62.4,0.0442,NO SIGNAL
PRIO3/CYRE3,2.8236,1.19,57.4,0.0504,NO SIGNAL
SUZB3/ALPA4,3.7096,1.19,58.8,0.0928,NO SIGNAL
BBAS3/RENT3,0.5597,1.2,68.5,0.0187,NO SIGNAL
SUZB3/ASAI3,5.2088,1.2,57.7,0.0875,NO SIGNAL
BBAS3/LREN3,1.5572,1.2,63.8,0.0415,NO SIGNAL
GOAU4/ASAI3,1.3114,1.2,65.2,0.0428,NO SIGNAL
RAIL3/ASAI3,1.7033,1.21,59.0,0.0272,NO SIGNAL
VALE3/EQTL3,1.9834,1.21,56.5,-0.0152,NO SIGNAL
PETR3/PRIO3,0.8145,1.21,60.3,0.0102,NO SIGNAL
HAPV3/SBSP3,0.3876,1.21,56.3,-0.0,NO SIGNAL
PETR4/USIM5,5.0922,1.23,61.1,0.1298,NO SIGNAL
WEGE3/EQTL3,1.2053,1.23,60.3,0.0106,NO SIGNAL
VAMO3/ASAI3,0.398,1.24,63.9,0.0134,NO SIGNAL
GOAU4/ALPA4,0.9339,1.24,65.6,0.0376,NO SIGNAL
WEGE3/LREN3,3.4166,1.24,60.4,0.0804,NO SIGNAL
B3SA3/CYRE3,0.75,1.24,65.9,0.018,NO SIGNAL
TOTS3/YDUQ3,3.6597,1.26,59.4,0.0883,NO SIGNAL
VALE3/RENT3,2.0207,1.26,60.6,0.0309,NO SIGNAL
VALE3/LREN3,5.6223,1.27,57.4,0.0463,NO SIGNAL
GGBR4/ASAI3,3.033,1.27,66.4,0.1082,NO SIGNAL
VAMO3/ALPA4,0.2835,1.3,64.5,0.0115,NO SIGNAL
GGBR4/CSAN3,6.3529,1.31,60.0,0.102,NO SIGNAL
PETR3/USIM5,5.7609,1.31,61.9,0.1643,NO SIGNAL
SUZB3/LREN3,3.1907,1.31,61.9,0.0754,NO SIGNAL
VALE3/USIM5,9.1226,1.31,56.5,0.0414,NO SIGNAL
PETR4/CYRE3,2.0329,1.32,61.0,0.0547,NO SIGNAL
GGBR4/ALPA4,2.16,1.32,66.9,0.0932,NO SIGNAL
BBAS3/CMIG4,1.8774,1.32,57.4,0.0113,NO SIGNAL
LREN3/CYRE3,0.6478,1.32,52.4,-0.0019,NO SIGNAL
PETR4/ITUB4,0.9995,1.33,57.5,0.0058,NO SIGNAL
KLBN11/ASAI3,2.199,1.33,63.2,0.0508,NO SIGNAL
WEGE3/TAEE11,1.1683,1.34,59.3,0.0066,NO SIGNAL
GGBR4/LREN3,1.8579,1.35,72.4,0.0771,NO SIGNAL
KLBN11/ALPA4,1.5661,1.36,63.9,0.0482,NO SIGNAL
PETR3/CYRE3,2.2999,1.36,61.5,0.0686,NO SIGNAL
VIVT3/TIMS3,1.6495,1.37,65.7,0.0328,NO SIGNAL
VALE3/TAEE11,1.9225,1.38,56.7,-0.021,NO SIGNAL
ABEV3/RENT3,0.4312,1.39,65.1,0.0098,NO SIGNAL
RAIL3/LREN3,1.0434,1.4,63.1,0.0232,NO SIGNAL
B3SA3/RADL3,0.8731,1.4,57.3,0.0035,NO SIGNAL
GGBR4/HAPV3,2.3702,1.4,62.3,0.0776,NO SIGNAL
GOAU4/MGLU3,2.2658,1.41,63.4,0.0716,NO SIGNAL
BPAC11/TAEE11,1.4059,1.42,59.8,0.0101,NO SIGNAL
GGBR4/USIM5,3.0146,1.42,68.7,0.1153,NO SIGNAL
PETR4/BPAC11,0.7633,1.42,56.5,0.0036,NO SIGNAL
CMIG4/CYRE3,0.5373,1.42,63.3,0.0102,NO SIGNAL
HAPV3/VIVT3,0.3237,1.43,55.5,-0.0023,NO SIGNAL
PETR4/BBDC4,2.2854,1.43,56.6,0.0058,NO SIGNAL
WEGE3/CYRE3,2.2132,1.44,62.6,0.0474,NO SIGNAL
GGBR4/CMIG4,2.2399,1.45,68.1,0.0496,NO SIGNAL
PRIO3/MULT3,2.1108,1.47,58.4,0.0224,NO SIGNAL
WEGE3/USIM5,5.5437,1.47,59.2,0.1036,NO SIGNAL
PRIO3/RADL3,3.2871,1.47,54.4,-0.006,NO SIGNAL
PRIO3/EQTL3,1.5377,1.48,57.2,0.0088,NO SIGNAL
PETR3/BPAC11,0.8636,1.48,57.7,0.0069,NO SIGNAL
SUZB3/USIM5,5.1772,1.48,61.3,0.1008,NO SIGNAL
ABEV3/LREN3,1.1997,1.49,63.0,0.0193,NO SIGNAL
BBAS3/CYRE3,1.0087,1.5,65.3,0.0248,NO SIGNAL
VAMO3/MGLU3,0.6878,1.51,63.5,0.0236,NO SIGNAL
CSNA3/SBSP3,0.1949,1.51,61.8,0.0023,NO SIGNAL
TOTS3/ALPA4,2.5713,1.51,58.5,0.036,NO SIGNAL
BBDC4/EQTL3,0.4844,1.51,65.4,0.0062,NO SIGNAL
B3SA3/EQTL3,0.4084,1.52,63.5,0.0048,NO SIGNAL
VALE3/MULT3,2.7226,1.53,59.1,-0.0066,NO SIGNAL
GGBR4/CYRE3,1.2035,1.53,72.0,0.0468,NO SIGNAL
RADL3/SBSP3,0.6557,1.54,64.6,0.0083,NO SIGNAL
WEGE3/MULT3,1.6545,1.55,64.1,0.0223,NO SIGNAL
GGBR4/MGLU3,5.2405,1.55,64.4,0.1822,NO SIGNAL
BBAS3/RADL3,1.1743,1.57,59.3,0.0052,NO SIGNAL
SUZB3/CYRE3,2.0669,1.57,61.8,0.044,NO SIGNAL
SUZB3/RADL3,2.4061,1.58,58.2,0.0024,NO SIGNAL
VALE3/CYRE3,3.642,1.6,59.9,0.0201,NO SIGNAL
RENT3/SBSP3,1.3757,1.62,54.9,-0.0248,NO SIGNAL
B3SA3/MULT3,0.5607,1.62,72.5,0.0092,NO SIGNAL
PETR4/EQTL3,1.1071,1.64,62.1,0.0166,NO SIGNAL
ABEV3/USIM5,1.9466,1.65,59.0,0.0238,NO SIGNAL
ITUB4/TAEE11,1.0737,1.65,62.0,0.0064,NO SIGNAL
PETR4/MULT3,1.5197,1.65,63.7,0.0299,NO SIGNAL
BPAC11/EQTL3,1.4504,1.65,62.0,0.0151,NO SIGNAL
GGBR4/GOAU4,2.3128,1.66,59.5,0.0083,NO SIGNAL
PETR3/EQTL3,1.2525,1.67,62.7,0.0227,NO SIGNAL
SUZB3/CMIG4,3.8467,1.67,55.2,0.0099,NO SIGNAL
BBDC4/MULT3,0.665,1.67,72.2,0.0116,NO SIGNAL
PETR3/MULT3,1.7193,1.67,64.4,0.039,NO SIGNAL
KLBN11/USIM5,2.1857,1.68,66.3,0.055,NO SIGNAL
EQTL3/VIVT3,1.1705,1.68,59.1,-0.0025,NO SIGNAL
BPAC11/MULT3,1.9909,1.69,64.8,0.0301,NO SIGNAL
KLBN11/CYRE3,0.8726,1.69,67.0,0.0237,NO SIGNAL
B3SA3/TAEE11,0.3959,1.71,60.1,0.0033,NO SIGNAL
TOTS3/ASAI3,3.6105,1.71,56.8,0.0237,NO SIGNAL
PETR4/RADL3,2.3666,1.72,58.0,0.018,NO SIGNAL
RAIL3/CYRE3,0.6759,1.73,63.2,0.0136,NO SIGNAL
CSNA3/TIMS3,0.2685,1.74,64.0,0.0065,NO SIGNAL
ABEV3/CYRE3,0.7771,1.76,62.0,0.0104,NO SIGNAL
PETR3/RADL3,2.6774,1.79,58.9,0.029,NO SIGNAL
PRIO3/TAEE11,1.4905,1.8,58.4,0.0035,NO SIGNAL
BBAS3/BPAC11,0.3788,1.8,58.6,0.0007,NO SIGNAL
ITUB4/EQTL3,1.1077,1.82,64.0,0.0101,WATCH SHORT
CSNA3/VIVT3,0.1628,1.83,59.6,0.0008,WATCH SHORT
GGBR4/MULT3,0.8997,1.86,75.0,0.0288,WATCH SHORT
PRIO3/SBSP3,2.1553,1.91,61.1,0.0225,WATCH SHORT
RENT3/TIMS3,1.8951,1.92,60.4,-0.0088,WATCH SHORT
ABEV3/EQTL3,0.4232,1.94,62.8,0.0003,WATCH SHORT
GGBR4/TAEE11,0.6353,1.95,73.1,0.0158,WATCH SHORT
BBDC4/TAEE11,0.4696,1.96,65.3,0.0045,WATCH SHORT
WEGE3/VIVT3,1.4107,1.96,64.4,0.0092,WATCH SHORT
PETR3/TAEE11,1.2141,1.96,65.9,0.0181,WATCH SHORT
B3SA3/SBSP3,0.5725,1.96,74.5,0.0094,WATCH SHORT
PETR4/TAEE11,1.0731,1.98,65.2,0.0126,WATCH SHORT
LREN3/SBSP3,0.4945,1.99,58.4,-0.0053,WATCH SHORT
PETR3/SBSP3,1.7555,2.0,66.7,0.0394,WATCH SHORT
VALE3/VIVT3,2.3215,2.01,60.9,-0.0219,SHORT FIRST / LONG SECOND
PETR4/SBSP3,1.5518,2.01,66.7,0.0303,SHORT FIRST / LONG SECOND
LREN3/TIMS3,0.6811,2.02,61.7,0.0015,WATCH SHORT
HAPV3/TIMS3,0.5339,2.04,61.5,0.0065,SHORT FIRST / LONG SECOND
BBAS3/EQTL3,0.5493,2.08,69.2,0.0067,SHORT FIRST / LONG SECOND
GGBR4/SBSP3,0.9186,2.08,77.7,0.0292,SHORT FIRST / LONG SECOND
RADL3/VIVT3,0.5476,2.09,61.9,0.003,SHORT FIRST / LONG SECOND
BBAS3/MULT3,0.7541,2.1,68.4,0.0128,SHORT FIRST / LONG SECOND
RADL3/TIMS3,0.9032,2.1,68.9,0.0219,WATCH SHORT
SUZB3/EQTL3,1.1256,2.15,63.1,0.01,WATCH SHORT
