Pair,Ratio,Z-Score,RSI,MACD,Signal
TIMS3/MGLU3,4.1414,-1.61,38.7,-0.0481,NO SIGNAL
BPAC11/GOAU4,5.1182,-1.6,33.8,-0.0896,NO SIGNAL
BBDC4/VAMO3,5.6319,-1.6,37.9,-0.0944,NO SIGNAL
VIVT3/ALPA4,2.8157,-1.59,43.6,0.0548,NO SIGNAL
BBDC4/GOAU4,1.7095,-1.58,35.6,-0.0253,NO SIGNAL
TIMS3/YDUQ3,2.4295,-1.58,39.8,0.0228,NO SIGNAL
CYRE3/ASAI3,2.5201,-1.57,43.5,-0.0138,NO SIGNAL
PETR4/PETR3,0.8839,-1.55,39.9,-0.0031,NO SIGNAL
TIMS3/SBSP3,0.726,-1.53,40.7,-0.0097,NO SIGNAL
ITUB4/ABEV3,2.6172,-1.52,45.3,0.0213,NO SIGNAL
SBSP3/USIM5,3.2816,-1.5,43.8,0.016,NO SIGNAL
ITUB4/GGBR4,1.69,-1.5,33.0,-0.0391,NO SIGNAL
ITUB4/VAMO3,12.8773,-1.46,35.9,-0.2717,NO SIGNAL
BBDC4/PETR3,0.3868,-1.46,42.0,-0.0028,NO SIGNAL
ITUB4/GOAU4,3.9088,-1.45,33.9,-0.074,NO SIGNAL
TAEE11/PCAR3,14.0647,-1.44,34.3,-1.1043,NO SIGNAL
HAPV3/VAMO3,3.2147,-1.42,38.2,-0.1161,NO SIGNAL
CYRE3/CSAN3,5.2788,-1.42,37.4,-0.1487,NO SIGNAL
VIVT3/USIM5,3.9296,-1.41,45.3,0.0518,NO SIGNAL
SBSP3/UGPA3,0.8424,-1.39,27.6,-0.0584,NO SIGNAL
RENT3/RAIL3,2.6667,-1.39,29.6,-0.0912,NO SIGNAL
CYRE3/VAMO3,6.3313,-1.39,30.2,-0.2993,NO SIGNAL
MULT3/PCAR3,9.9317,-1.38,35.2,-0.894,NO SIGNAL
VIVT3/MGLU3,6.8312,-1.37,44.0,0.0684,NO SIGNAL
LREN3/KLBN11,0.7424,-1.36,33.7,-0.026,NO SIGNAL
ITUB4/PETR3,0.8843,-1.35,41.5,-0.01,NO SIGNAL
CYRE3/GOAU4,1.9218,-1.35,29.8,-0.0874,NO SIGNAL
RENT3/KLBN11,2.0655,-1.35,30.9,-0.0898,NO SIGNAL
BPAC11/CMIG4,4.9567,-1.34,46.3,0.0192,NO SIGNAL
CMIG4/VAMO3,3.4018,-1.33,36.2,-0.0793,NO SIGNAL
CYRE3/ALPA4,1.7948,-1.29,45.1,0.005,NO SIGNAL
CMIG4/GOAU4,1.0326,-1.29,34.0,-0.0223,NO SIGNAL
RADL3/UGPA3,0.5523,-1.28,34.9,-0.0284,NO SIGNAL
EQTL3/PCAR3,13.6331,-1.28,35.9,-1.1255,NO SIGNAL
USIM5/PCAR3,2.964,-1.28,36.3,-0.3338,NO SIGNAL
USIM5/VAMO3,2.5276,-1.27,36.2,-0.1273,NO SIGNAL
RENT3/SUZB3,0.872,-1.26,35.7,-0.031,NO SIGNAL
HAPV3/GOAU4,0.9758,-1.26,39.7,-0.0332,NO SIGNAL
BPAC11/B3SA3,3.551,-1.25,44.7,-0.0074,NO SIGNAL
RADL3/RAIL3,1.271,-1.25,41.9,-0.0003,NO SIGNAL
SBSP3/MGLU3,5.7046,-1.25,40.8,0.0067,NO SIGNAL
RENT3/GGBR4,1.4976,-1.25,24.3,-0.0919,NO SIGNAL
RENT3/VAMO3,11.411,-1.23,28.4,-0.6669,NO SIGNAL
USIM5/GOAU4,0.7672,-1.23,32.6,-0.0355,NO SIGNAL
LREN3/VAMO3,4.1012,-1.22,32.5,-0.2072,NO SIGNAL
SBSP3/CYRE3,1.3101,-1.22,45.2,0.0104,NO SIGNAL
ITUB4/TOTS3,1.4197,-1.22,46.0,0.0145,NO SIGNAL
TAEE11/UGPA3,1.2181,-1.21,26.4,-0.0699,NO SIGNAL
CYRE3/PCAR3,7.4245,-1.21,35.9,-0.7415,NO SIGNAL
BBAS3/GGBR4,0.8382,-1.21,39.4,-0.0159,NO SIGNAL
RENT3/GOAU4,3.4637,-1.21,23.9,-0.1958,NO SIGNAL
CSAN3/VAMO3,1.1994,-1.2,41.5,-0.0207,NO SIGNAL
RADL3/CSAN3,4.5345,-1.19,41.8,-0.0211,NO SIGNAL
RENT3/WEGE3,0.8144,-1.19,36.8,-0.0284,NO SIGNAL
LREN3/GOAU4,1.2449,-1.18,28.1,-0.0593,NO SIGNAL
BBDC4/B3SA3,1.186,-1.18,47.1,0.0005,NO SIGNAL
BBAS3/VAMO3,6.3865,-1.18,41.1,-0.1053,NO SIGNAL
RENT3/CSAN3,9.5141,-1.16,33.6,-0.3708,NO SIGNAL
BPAC11/PRIO3,0.9432,-1.14,46.5,0.0029,NO SIGNAL
MULT3/UGPA3,0.8601,-1.14,28.7,-0.0584,NO SIGNAL
PRIO3/GGBR4,2.3462,-1.13,41.8,-0.0594,NO SIGNAL
VIVT3/MULT3,1.1728,-1.13,43.6,0.0089,NO SIGNAL
EQTL3/UGPA3,1.1807,-1.12,30.6,-0.0721,NO SIGNAL
BPAC11/TOTS3,1.859,-1.12,46.2,0.0217,NO SIGNAL
EQTL3/CSNA3,7.1917,-1.11,44.5,-0.0854,NO SIGNAL
RAIL3/GGBR4,0.5616,-1.11,39.1,-0.0135,NO SIGNAL
VIVT3/ASAI3,3.9536,-1.1,42.5,0.0446,NO SIGNAL
ITUB4/B3SA3,2.7119,-1.1,44.7,-0.0099,NO SIGNAL
LREN3/CSAN3,3.4194,-1.1,35.4,-0.1089,NO SIGNAL
ITUB4/PCAR3,15.1007,-1.09,38.2,-1.0421,NO SIGNAL
MULT3/ALPA4,2.4009,-1.09,47.2,0.0276,NO SIGNAL
SUZB3/GGBR4,1.7174,-1.08,37.4,-0.0387,NO SIGNAL
RAIL3/VAMO3,4.2791,-1.07,40.6,-0.0907,NO SIGNAL
SUZB3/KLBN11,2.3687,-1.07,43.2,-0.0162,NO SIGNAL
YDUQ3/VAMO3,2.4785,-1.06,34.3,-0.1518,NO SIGNAL
RADL3/CSNA3,3.3643,-1.06,47.2,-0.0094,NO SIGNAL
RENT3/CMIG4,3.3544,-1.06,33.9,-0.1074,NO SIGNAL
RENT3/PCAR3,13.3813,-1.06,35.4,-1.5353,NO SIGNAL
SBSP3/YDUQ3,3.3465,-1.05,44.8,0.0722,NO SIGNAL
RADL3/PCAR3,6.3777,-1.05,37.2,-0.465,NO SIGNAL
ITUB4/PRIO3,0.7203,-1.05,46.4,0.0011,NO SIGNAL
BPAC11/PCAR3,19.7734,-1.04,38.2,-1.3212,NO SIGNAL
BBAS3/GOAU4,1.9385,-1.04,41.9,-0.0289,NO SIGNAL
CSNA3/VAMO3,1.6166,-1.02,43.0,-0.0355,NO SIGNAL
LREN3/PCAR3,4.8094,-1.02,36.7,-0.5106,NO SIGNAL
YDUQ3/GOAU4,0.7523,-1.02,33.0,-0.045,NO SIGNAL
HAPV3/KLBN11,0.5819,-1.0,41.5,-0.0132,NO SIGNAL
LREN3/CMIG4,1.2056,-1.0,38.0,-0.0292,NO SIGNAL
PETR4/GGBR4,1.6892,-1.0,43.8,-0.0258,NO SIGNAL
RENT3/B3SA3,2.4031,-0.99,30.8,-0.0917,NO SIGNAL
CYRE3/UGPA3,0.643,-0.98,33.3,-0.0503,NO SIGNAL
RAIL3/GOAU4,1.2989,-0.98,40.4,-0.0258,NO SIGNAL
PRIO3/VAMO3,17.8773,-0.98,44.4,-0.415,NO SIGNAL
BPAC11/UGPA3,1.7125,-0.98,34.6,-0.0813,NO SIGNAL
ASAI3/PCAR3,2.946,-0.98,37.5,-0.2696,NO SIGNAL
SUZB3/VAMO3,13.0859,-0.97,42.1,-0.2681,NO SIGNAL
MGLU3/UGPA3,0.1477,-0.97,35.5,-0.0114,NO SIGNAL
RENT3/PRIO3,0.6383,-0.96,40.9,-0.0209,NO SIGNAL
