Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2021-07-29,8.005590438842773,8.037256021417695,7.9163517186610655,8.00271169960293,43916600
2021-07-30,7.7465105056762695,8.011348495146544,7.7234811391598726,7.945139135044828,74150400
2021-08-02,7.602575778961182,7.890443095238585,7.5910613718230175,7.8299912223707295,70528800
2021-08-03,7.729238510131836,7.7349959889463955,7.424099270784362,7.5881835735555185,71850400
2021-08-04,7.565155506134033,7.706210466926431,7.470159285638601,7.642879287220481,87970600
2021-08-05,8.161040306091309,8.342396513309582,8.077558502614192,8.276187147901597,223915900
2021-08-06,8.172553062438965,8.215733599812951,8.06604246121026,8.204218643429664,51106100
2021-08-09,8.114980697631836,8.120737627306335,7.965289544827004,8.045892599967312,75381900
2021-08-10,8.140890121459961,8.284823818839683,8.129375162119112,8.146647052066903,84380900
2021-08-11,8.253157615661621,8.345275087280731,8.051650234697238,8.106345189369874,97863500
2021-08-12,8.376938819885254,8.402846921676524,8.204218324297898,8.25027704991275,95319300
2021-08-13,8.448906898498535,8.523752475972456,8.353910694216902,8.365425102794136,85201800
2021-08-16,8.244521141052246,8.41724166951198,8.12937430510023,8.405727260448492,101262100
2021-08-17,8.244494438171387,8.42750161379631,8.06758707510584,8.186541855615163,93623700
2021-08-18,8.17129135131836,8.329897529463048,8.128589173332898,8.244494337023358,86103100
2021-08-19,8.12553882598877,8.195692195037362,7.9699822660793584,8.009634246206685,80808200
2021-08-20,8.113335609436035,8.122485615481844,7.982180092969149,8.052332854225497,88445600
2021-08-23,8.241442680358887,8.329896054258777,8.165189511033061,8.217041689445242,70161500
2021-08-24,8.412249565124512,8.427499966189872,8.30854520893663,8.323796191767501,49831400
2021-08-25,8.458003044128418,8.488504434133732,8.35124846999263,8.427501654123104,46031200
2021-08-26,8.38479995727539,8.503754736936656,8.378699562993884,8.412251149776546,41061300
2021-08-27,8.689811706542969,8.689811706542969,8.439701386968,8.448851977354481,76465300
2021-08-30,8.631860733032227,8.756915916029941,8.619660525351447,8.662362124882668,61054000
2021-08-31,8.293296813964844,8.61050977062704,8.232294031416211,8.6013597604807,110574300
2021-09-01,8.247542381286621,8.339045944091225,8.03098309605971,8.332945551433461,69430400
2021-09-02,8.113335609436035,8.342095068827472,8.070633448082502,8.235340538091723,56052000
2021-09-03,8.030983924865723,8.16823986500305,7.960831147357988,8.128587890400922,58182700
2021-09-06,8.070634841918945,8.146888008218703,7.976081078601582,7.994381675619187,26770700
2021-09-08,7.616166114807129,8.037083922672496,7.561264323219273,8.018783325476544,80378400
2021-09-09,7.777822971343994,7.893727528273481,7.363005560040691,7.649717628545356,156617100
2021-09-10,7.729022026062012,7.973031958455097,7.725971829186402,7.9364307594789185,78379900
2021-09-13,8.000482559204102,8.049284542087657,7.820525029158916,7.869327012042472,63317900
2021-09-14,7.893726825714111,8.00658175789746,7.844924850111971,7.915078199084806,65497300
2021-09-15,8.030983924865723,8.070635317702326,7.890678369850253,7.930329762686856,67274100
2021-09-16,7.960831165313721,8.003532754890305,7.780873635290227,7.95473077201263,65567700
2021-09-17,7.603966236114502,7.93643010519505,7.555164253659148,7.921179122074301,131694100
2021-09-20,7.5185627937316895,7.5185627937316895,7.256252272388125,7.344705651165158,80260600
2021-09-21,7.689368724822998,7.713770295627472,7.481960608874183,7.649717335796664,64570200
2021-09-22,7.884578704833984,7.997433082245954,7.783924533358044,7.786974730283445,70231800
2021-09-23,8.186541557312012,8.220093143111312,7.902879630957653,7.915080419163071,84480600
2021-09-24,8.204842567443848,8.253644559170535,8.073686996516265,8.09808799237961,44821500
2021-09-27,8.278045654296875,8.37564963892063,8.082837685049366,8.278045654296875,89178700
2021-09-28,8.22314453125,8.506806518759918,8.149941531532235,8.293297915024535,117874300
2021-09-29,8.354299545288086,8.397001728490192,8.18044236027902,8.299397153860868,58731700
2021-09-30,8.305495262145996,8.412249818110537,8.287194663964097,8.396999416586542,65744000
2021-10-01,8.54035472869873,8.54035472869873,8.256692853555899,8.271943836059302,60983200
2021-10-04,8.781316757202148,8.787416569647261,8.454952648115718,8.467153436537169,106937000
2021-10-05,8.97347354888916,8.988723950998743,8.814866807181076,8.845368193165793,100469100
2021-10-06,8.735564231872559,8.897221185077724,8.68371204550604,8.830118595212774,84599400
2021-10-07,8.72336196899414,8.83926652084963,8.616607424374461,8.753863350566258,60551100
2021-10-08,8.881970405578613,9.031426564245619,8.756914658769915,8.845368624259994,84170500
2021-10-11,8.942972183227539,9.104629122078018,8.891120001465351,8.997874561771685,76466700
2021-10-13,9.03752613067627,9.058877508561695,8.869769376792577,8.89722056659399,55605400
2021-10-14,9.052777290344238,9.217483850579555,8.997874909677275,9.107679671011201,76172700
2021-10-15,9.028375625610352,9.101578600468141,9.00092443731799,9.089377813775744,72479900
2021-10-18,8.982625007629395,9.04057700666089,8.842318851241513,8.96737402227984,68971300
2021-10-19,8.54340648651123,8.942972992873418,8.497654694170853,8.918571998174176,111484000
2021-10-20,8.69286060333252,8.784364166450887,8.525103877027027,8.622707832824075,56063300
2021-10-21,8.372597694396973,8.595256795102376,8.210940776229302,8.497652837629623,101567700
2021-10-22,8.290245056152344,8.467152394124566,7.8601772072583955,8.265844064079126,138384700
2021-10-25,8.857566833496094,8.939919799400084,8.433598892771453,8.467150467399447,135830600
2021-10-26,8.772167205810547,8.915522996163475,8.723365209870584,8.784367413912696,57865600
2021-10-27,8.750815391540527,8.863669775915572,8.683712218572607,8.793516987599666,57579200
2021-10-28,8.83316707611084,8.921621033985845,8.616608349063252,8.702012110277167,89578000
2021-10-29,8.281094551086426,8.903320727997853,8.226192172915942,8.88501954743066,157340000
2021-11-01,8.54035472869873,8.637958689658522,8.348197003279827,8.451900775475483,102157200
2021-11-03,8.189591407775879,8.494604118815833,8.174340423164534,8.451901943669647,83475800
2021-11-04,7.930328845977783,8.308544459589484,7.884577065142541,8.24144188648216,92603400
2021-11-05,7.884578704833984,8.095037638562072,7.863227908121751,8.018784460723765,86264000
2021-11-08,7.966930866241455,8.13163739869825,7.844925337884747,7.872376523588459,59704100
2021-11-09,8.12553882598877,8.220093189821254,7.991333645560168,7.991333645560168,73021700
2021-11-10,8.061484336853027,8.213990660042029,7.979130782707259,8.113336510007906,68176300
