Price,Close,High,Low,Open,Volume
Ticker,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA
Date,,,,,
2021-07-29,71.18136596679688,72.40703669958366,70.67631536089505,71.674100328241,30576800
2021-07-30,66.98696899414062,69.91256752735518,66.98696899414062,69.91256752735518,41956700
2021-08-02,67.09166717529297,68.5945023102154,67.09166717529297,68.30502130972837,23109400
2021-08-03,69.37672424316406,69.61693092158427,67.4057964461104,67.6152054687075,36641400
2021-08-04,69.30281066894531,69.75243105592193,68.74849047278393,68.98253667340624,18828200
2021-08-05,67.18406677246094,67.74454745818076,66.45728626307627,67.52897796367313,32215200
2021-08-06,67.5659408569336,68.29888194000033,67.44275961397628,67.65832913868319,19273100
2021-08-09,67.14095306396484,67.41195270108759,66.32178428345024,66.64205829061805,21502300
2021-08-10,67.78765869140625,68.2064814210067,67.0362410266176,67.10399210780756,17440500
2021-08-11,67.30108642578125,68.05866457872467,67.29493065394074,67.8677322722943,14680600
2021-08-12,67.25797271728516,67.73839076876129,67.03008698291906,67.25797271728516,14849500
2021-08-13,66.70365142822266,67.68911530168585,66.49423771188911,67.56592938058894,11855200
2021-08-16,67.01161193847656,67.07320255202696,65.23777219422453,66.05078051065252,21856700
2021-08-17,65.9029541015625,67.33187777823203,65.07762964219552,66.58662063685881,23402600
2021-08-18,63.69182205200195,65.12690154933216,63.69182205200195,65.12690154933216,35379200
2021-08-19,60.05792236328125,61.76400624894676,59.92858067078494,60.76622613567167,60456900
2021-08-20,60.08256149291992,61.037227739608554,60.01481040907629,60.1071939788062,31351100
2021-08-23,59.25107192993164,60.31660786124612,59.22643944398006,60.088717424162226,19773500
2021-08-24,61.412933349609375,62.373760016655154,61.037224522303056,61.20968010879206,29779200
2021-08-25,61.28359603881836,61.87487439148627,60.69847815726877,61.64698395073465,15088600
2021-08-26,60.501380920410156,61.46836805606501,60.50138092041016,61.27743105795018,18032300
2021-08-27,62.01654052734375,62.20747285120673,60.914051088172435,60.98180217710373,19572800
2021-08-30,61.62234878540039,62.601652192820765,61.56075347502023,62.096601661515535,13031600
2021-08-31,60.778541564941406,61.1357736817582,60.17494230897296,60.97563433645027,20433600
2021-09-01,60.88325119018555,61.33902738154155,58.95543720995239,59.96553833623472,20847500
2021-09-02,60.69230270385742,61.59153860358235,60.30427770231699,60.833960611171236,24448600
2021-09-03,60.73543167114258,62.133557876956736,60.673841057060756,61.69010263613004,38716500
2021-09-06,59.780765533447266,60.08256755522517,59.22644526288692,59.67606101114703,11916100
